Symbol,Open
MAR,77.74
MMC,57.92
MLM,146.99
MAS,27.27
MA,92.14
MAT,25.68
MKC,78.15
MCD,96.3
MHFI,103.8
MCK,237.9
MJN,96.76
MWV,50.16
MDT,76.48
MRK,60.45
MET,52.31
KORS,47.92
MCHP,48.67
MU,28.36
MSFT,46.93
MHK,188.5
TAP,72.81
MDLZ,40.45
MON,116.53
MNST,126.73
MCO,108.34
MS,38.43
MOS,45.07
MSI,59.42
MUR,42.8
MYL,72.9
NDAQ,51.53
NOV,49.55
NAVI,19.23
NTAP,33.04
NFLX,620.98
NFX,37.64
NEM,27.3
NWSA,15.16
NEE,102.79
NLSN,44.31
NKE,101.8
NI,46.81
NE,16.56
JWN,73.04
NSC,92.54
NTRS,74.17
NOC,159.21
NRG,25
NUE,47.75
NVDA,22.24
ORLY,221.14
OXY,79.11
OMC,74.43
OKE,41.34
ORCL,43.51
OI,24.32
PCAR,64
PLL,124.56
PH,120.16
PDCO,47.92
PAYX,49.21
PNR,63.2
PBCT,15.5
POM,27.13
PEP,95.63
PKI,52.34
PRGO,193.05
PFE,34.64
PCG,53.32
PM,82.8
PSX,79.38
PNW,60.62
PXD,150.54
PBI,21.8
PCL,41.25
PNC,94.44
RL,132.14
PPG,228.67
PPL,32.35
PX,122.38
PCP,212.64
PCLN,1162.14
PFG,51.46
PG,78.46
PGR,27.24
PLD,40.07
PRU,84.37
PEG,42.66
PSA,195.42
PHM,19.23
PVH,108.62
QEP,19.18
PWR,29.47
QCOM,69.36
DGX,75.37
RRC,55.25
RTN,102.95
O,45.83
RHT,76.49
REGN,511.25
RF,10
RSG,40.16
RAI,75.46
RHI,56.4
ROK,123.83
COL,94.4
ROP,174.58
ROST,96.54
RCL,75.78
R,91.28
CRM,72.83
SNDK,67.78
SCG,53.03
SLB,91.06
SNI,66.7
STX,55.29
SEE,49.1
SRE,107.01
SHW,287.57
SIAL,139.1
SPG,183.25
SWKS,109.55
SLG,120.24
SJM,118.42
SNA,154.87
SO,43.58
LUV,37.3
SWN,25.39
SE,34.77
STJ,74.25
SWK,102.45
SPLS,16.34
SBUX,51.98
HOT,82.18
STT,77.13
SRCL,137.15
SYK,95.75
STI,41.98
SYMC,24.57
SYY,37.22
TROW,80.41
TGT,79.2
TEL,68.89
TE,18.75
THC,52.97
TDC,38.53
TSO,87.74
TXN,55.42
TXT,44.89
HSY,92.49
TRV,100.77
TMO,129.1
TIF,93.41
TWX,84.2
TWC,180.15
TJX,65.04
TMK,56.9
TSS,41.08
TSCO,87.46
RIG,18.94
TRIP,76.15
FOXA,33.36
TSN,42.23
TYC,40.22
USB,42.87
UA,78.55
UNP,102.07
UNH,119.49
UPS,98.94
URI,90.2
UTX,116.73
UHS,130.3
UNM,35
URBN,34.82
VFC,70.5
VLO,58.73
VAR,85.86
VTR,67.09
VRSN,62.95
VZ,49.22
VRTX,126.28
VIAB,66.55
V,68.73
VNO,100.71
VMC,89.34
WMT,74.54
WBA,86.31
DIS,110.92
WM,49.61
WAT,133.48
ANTM,167.46
WFC,56.01
WDC,96.99
WU,21.98
WY,32.52
WHR,186.13
WFM,41.06
WMB,51.32
WEC,48.03
WYN,84.43
WYNN,98.3
XEL,33.88
XRX,11.47
XLNX,48.06
XL,37.54
XYL,36.52
YHOO,43.18
YUM,90.22
ZMH,114.14
ZION,29.96
ZTS,49.72
