Symbol,Open
GRMN,45.59
GD,140.35
GE,27.26
GGP,28.36
GIS,56.32
GM,36.06
GPC,90.54
GNW,7.9
GILD,113.17
GS,207.32
GT,31.99
GOOGL,548.73
GOOG,536.79
GWW,240.84
HAL,45.35
HBI,31.89
HOG,53.68
HAR,121.08
HRS,79.92
HIG,41.3
HAS,71.95
HCA,82.39
HCP,38.9
HCN,70.42
HP,72.98
HES,67.18
HPQ,33.41
HD,111.97
HON,104.23
HRL,57.19
HSP,88.53
HST,19.96
HCBK,9.51
HUM,213.15
HBAN,11.15
ITW,94.33
IR,69.03
TEG,71.75
INTC,34.37
ICE,237.49
IBM,170.21
IP,51.78
IPG,20.45
IFF,119.29
INTU,104.77
ISRG,491.36
IVZ,40
IRM,36.49
JEC,43.38
JNJ,100.28
JCI,52.21
JOY,39.07
JPM,65.99
JNPR,27.33
KSU,90.92
K,62.6
KEY,14.64
GMCR,86.77
KMB,108.97
KIM,23.99
KMI,41.37
KLAC,60.07
KSS,65.49
KRFT,84.54
KR,73.19
LB,86.59
LLL,117.9
LH,118.14
LRCX,82.77
LM,53.73
LEG,47.41
LEN,46.87
LVLT,55.78
LUK,24.68
LLY,78.92
LNC,57.11
LLTC,48.13
L,40.21
LO,72.46
LOW,69.96
LYB,101.79
MTB,121.49
MAC,82.13
M,67.03
MNK,129.63
MRO,27.23
MPC,103.16
MAR,78.2
MMC,58.39
MLM,148.9
MAS,27.21
MA,92.4
MAT,25.84
MKC,78.69
MCD,95.84
MHFI,104.45
MCK,237.43
MJN,97.3
MWV,50.56
MDT,77.07
MRK,60.85
MET,52.09
KORS,46.98
MCHP,49.25
MU,27.96
MSFT,47.06
MHK,186.89
TAP,73.32
MDLZ,41.6
MON,117.37
MNST,127.82
MCO,108.36
MS,38.42
MOS,45.9
MSI,59.09
MUR,43.48
MYL,72.42
NDAQ,52.05
NOV,49.16
NAVI,19.38
NTAP,33.27
NFLX,621.86
NFX,37.88
NEM,27.35
NWSA,15.2
NEE,102.55
NLSN,45.18
NKE,101.77
NI,47.14
NE,16.7
JWN,72.65
NSC,92.48
NTRS,74.79
NOC,159.09
NRG,25.17
NUE,47.58
NVDA,22.27
ORLY,220.8
OXY,78.89
OMC,74.77
OKE,41.88
ORCL,43.84
OI,24.01
PCAR,64.23
PLL,124.5
PH,120.71
PDCO,47.92
PAYX,49.58
PNR,64.24
PBCT,15.6
POM,27.2
PEP,96.59
PKI,52.92
PRGO,191.7
PFE,34.77
PCG,53.79
PM,82.9
PSX,79.55
PNW,61.04
PXD,147.94
PBI,21.88
PCL,41.28
PNC,96.14
RL,130.77
PPG,228.17
PPL,34.73
PX,123.01
PCP,212.94
PCLN,1174
PFG,51.88
PG,78.65
PGR,27.43
PLD,39.47
PRU,84.86
PEG,42.77
PSA,193.46
PHM,19.29
PVH,104.54
QEP,18.9
PWR,29.4
QCOM,69.51
DGX,75.84
RRC,55.3
RTN,103.66
O,45.71
RHT,77.56
REGN,517.08
RF,10.14
RSG,40.38
RAI,76.76
RHI,56.7
ROK,122.79
COL,95.25
ROP,175.58
ROST,96.81
RCL,75.5
R,91.89
CRM,72.79
SNDK,68.96
SCG,53.12
SLB,90.19
SNI,67.06
STX,55.74
SEE,49.1
SRE,107.47
SHW,288.92
SIAL,139.19
SPG,181.64
SWKS,110.38
SLG,118.81
SJM,118.68
SNA,155.54
SO,43.77
LUV,37.11
SWN,25.67
SE,35.2
STJ,74.15
SWK,102.36
SPLS,16.54
SBUX,51.96
HOT,83
STT,78.23
SRCL,137.37
SYK,96.67
STI,42.85
SYMC,24.74
SYY,37.21
TROW,80.95
TGT,79.5
TEL,69.04
TE,18.86
THC,53.63
TDC,38.95
TSO,89.03
TXN,55.7
TXT,45.3
HSY,92.92
TRV,101.59
TMO,129.84
TIF,94
TWX,84.57
TWC,181.86
TJX,64.38
TMK,57.34
TSS,41.32
TSCO,87.54
RIG,18.88
TRIP,76.24
FOXA,33.79
TSN,42.53
TYC,40.39
USB,43.25
UA,78.58
UNP,101.16
UNH,120.54
UPS,99.77
URI,89.68
UTX,117.23
UHS,130.02
UNM,35.07
URBN,34.62
VFC,70.65
VLO,59.21
VAR,86.53
VTR,66.59
VRSN,63.62
VZ,49.44
VRTX,128.48
VIAB,67.35
V,69.13
VNO,100
VMC,90
WMT,74.69
WBA,86.17
DIS,111.48
WM,49.82
WAT,134.04
ANTM,168.97
WFC,56.24
WDC,97.6
WU,22.01
WY,32.59
WHR,184.64
WFM,41.37
WMB,51.03
WEC,48.34
WYN,85.07
WYNN,101.03
XEL,34.14
XRX,11.44
XLNX,48.08
XL,37.79
XYL,36.73
YHOO,43.05
YUM,89.86
ZMH,114.58
ZION,29.04
ZTS,49.92
